accounts.google.com,accounts.gdce.googleapis.com
alt1-cache-management-prod.google.com,alt1-cache-management-prod.gdce.googleapis.com
cloudresourcemanager.googleapis.com,cloudresourcemanager.gdce.googleapis.com
cache-management-prod.google.com,cache-management-prod.gdce.googleapis.com
compute.googleapis.com,compute.gdce.googleapis.com
connectgateway.googleapis.com,connectgateway.gdce.googleapis.com
containerregistry.googleapis.com,containerregistry.gdce.googleapis.com
edgecontainer.googleapis.com,edgecontainer.gdce.googleapis.com
edgenetwork.googleapis.com,edgenetwork.gdce.googleapis.com
gcr.io,gcr-io.gdce.googleapis.com
k8s.gcr.io,k8s-gcr-io.gdce.googleapis.com
*.gcr.io,*.gcr-io.gdce.googleapis.com
gkeconnect.googleapis.com,gkeconnect.gdce.googleapis.com
gkehub.googleapis.com,gkehub.gdce.googleapis.com
gkeonprem.googleapis.com,gkeonprem.gdce.googleapis.com
gkeonprem.mtls.googleapis.com,gkeonprem.mtls.gdce.googleapis.com
iamcredentials.googleapis.com,iamcredentials.gdce.googleapis.com
iam.googleapis.com,iam.gdce.googleapis.com
logging.googleapis.com,logging.gdce.googleapis.com
monitoring.googleapis.com,monitoring.gdce.googleapis.com
oauth2.googleapis.com,oauth2.gdce.googleapis.com
opsconfigmonitoring.googleapis.com,opsconfigmonitoring.gdce.googleapis.com
*.sandbox.googleapis.com,*.sandbox.gdce.googleapis.com
securetoken.googleapis.com,securetoken.gdce.googleapis.com
servicecontrol.googleapis.com,servicecontrol.gdce.googleapis.com
serviceusage.googleapis.com,serviceusage.gdce.googleapis.com
stackdriver.googleapis.com,stackdriver.gdce.googleapis.com
storage.googleapis.com,storage.gdce.googleapis.com
sts.googleapis.com,sts.gdce.googleapis.com
www.googleapis.com,www.gdce.googleapis.com